number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
INTL 210-01,10833,Globalization and Contemporary Art, T R,09:40 am-11:10 am,ARTCOM 102,Joanna Inglot, Closed 1 / 20,"This course will examine the developments of contemporary art beyond traditional centers of gravity in Europe and the United States. Using a series of case studies, it will examine how globalization impacts artistic production in different parts of the world, including Asia, Africa, India, Latin America, Russia, Eastern Europe, Russia, and the Middle East. While analyzing a diverse range of artistic practices in these regions, the course will critically explore key discourses around the topic of globalization, including hybridity and diaspora, from post-modern and post-colonial perspectives. No background in art history necessary.",Internationalism
INTL 245-01,10433,Intro to Intl Human Rights,M W F,01:10 pm-02:10 pm,CARN 404,James von Geldern, Closed 2 / 25,"This course offers a theoretical and practical introduction to the study and promotion of human rights. Using broad materials, it focuses on the evolution and definition of key concepts, the debate over ""universal"" rights, regional and international institutions, core documents, the role of states, and current topics of interest to the human rights movement.",Internationalism
INTL 282-01,10434,Introduction to International Public Health,M W F,02:20 pm-03:20 pm,THEATR 206,Vanessa Voller, Closed 6 / 30,"This course introduces and explores the major health problems facing developing countries, and the main approaches to remediation. The course considers the social determinants of health, and the need for public health programs to address the root causes of health inequities as well as illness itself. Focus is at the country, international-organization, and donor levels. Attention will be given to major indicators, recent trends, policies, and metrics for monitoring progress. A case study, such as international tuberculosis control, will be used as an applied analysis.",Internationalism
INTL 282-02,10435,Introduction to International Public Health,M W F,03:30 pm-04:30 pm,THEATR 206,Vanessa Voller,6 / 30,"This course introduces and explores the major health problems facing developing countries, and the main approaches to remediation. The course considers the social determinants of health, and the need for public health programs to address the root causes of health inequities as well as illness itself. Focus is at the country, international-organization, and donor levels. Attention will be given to major indicators, recent trends, policies, and metrics for monitoring progress. A case study, such as international tuberculosis control, will be used as an applied analysis.",Internationalism
INTL 294-01,10436,"Global Contagions, Past and Present", T R,09:40 am-11:10 am,THEATR 202,David Moore, Closed 7 / 20,"Despite Covid-19’s sudden 2020 appearance, global contagions are far from new. Exploring the vast literature, history, and science of 14th to 20th century pandemics can inform, frame, and indeed calm our current experience. This course starts with “Pandemics 101,” then turns to major literary accounts of past plagues by Camus, Defoe, and in the 2011 Hollywood film “Contagion,” attending keenly to how pandemics are narrated or told, and by who. We will also engage this through our current lives, and collectively research and narrate today’s Covid-19 contexts and impacts in comparative global and historical perspective.","Writing WP
                    Internationalism"
INTL 294-02,10437,Global Perspectives on Adolescent Sexual and Reproductive Health,M W F,10:50 am-11:50 am,OLRI 350,Vanessa Voller,1 / 30,"In this course, learners will explore key topics in adolescent sexual and reproductive health (ASRH). Topics will range from the impact of adolescent physical, sexual, and social development on sexual behavior to policy and programmatic issues influencing ASRH outcomes in low-resource communities around the world. Emphasis will be placed on the social, economic, environmental, behavioral, and political factors that affect adolescent’s sexual and reproductive health outcomes. Important clinical topics such as contraception, adolescent pregnancy, abortion, and sexually transmitted infections will be discussed from the United States and international perspective. Upon successfully completing this course, learners will be able to identify a range of issues important to adolescent sexual and reproductive health and understand key policy topics pertinent to adolescent sexual and reproductive health both in the United States and around the world.",Internationalism
INTL 321-01,10456,Cultures of Neoliberalism,M W F,09:40 am-10:40 am,HUM 401,Bradley Stiffler, Closed 5 / 21,"Neoliberal theory posits the relative autonomy of the economic sphere from both culture and politics. Rejecting this assumption, the course will give students the ability to understand the interconnection of economic, political and cultural practices as well as the ways that economic theories are shaped by cultural assumptions about what constitutes a person, a life, a society, etc. We will read some of the foundational texts from the neoliberal school of economic thought (Friedrich Hayek, Milton Friedman) alongside more contemporary reflections on the culture and politics of neoliberalism from the fields of Anthropology, Geography, Philosophy, Cultural Studies, and Critical Race Studies. Additionally, we will look at both the global institutions that craft and enforce economic policies as well as their impacts in multiple international contexts. This course will emphasize interdisciplinarity and original research. Finally, in addition to key texts, we will examine recent documentaries that attempt to render economic structures visible.","Writing WP
                    Internationalism"
INTL 335-01,10083,Global Generosity,  W,07:00 pm-10:00 pm,CARN 06A,Jenna Rice Rahaim, Closed 3 / 20,"From Italian Mafia dons to famous American philanthropists; from the knitting of ""trauma teddies"" in Helsinki to gift shopping in London; and from ceremonial exchange rings in Melanesia to the present day global refugee crisis: this course will investigate how generosity is understood and practiced in global perspective. We'll begin the semester by examining key debates surrounding reciprocity, gifts, and exchange, theories of altruism and generosity, and patron-client relations. We'll then explore the birth of the ""humanitarian spirit,"" and the complicated ethics and politics of humanitarian intervention. We will compare diverse religious traditions' approaches to giving, including Islam, Christianity, Hinduism, and Jainism. And we'll explore contemporary debates surrounding volunteerism within sectarian and neoliberal political regimes.",
INTL 352-01,10438,Transitional Justice, T R,01:20 pm-02:50 pm,THEATR 202,Nadya Nedelsky, Closed 4 / 16,"This course explores the rapidly evolving field of transitional justice, examining how and why regimes respond to wide-scale past human rights abuses. Drawing on examples worldwide, it asks why states choose particular strategies and examines a variety of goals (truth, justice, reconciliation, democracy-building), approaches (trials, truth commissions, file access, memorialization, reparation, rewriting histories), actors (state, civil society, religious institutions), experiences, results, and controversies. Prerequisite(s): Sophomore standing or permission of instructor.",Internationalism
INTL 364-01,10824,Culture and Revolution,M W F,10:50 am-11:50 am,CARN 404,James von Geldern, Closed 2 / 20,"This course examines the relationship between cultural and political change during three very different revolutions: France 1789, Russia 1917, Iran 1979. How do people change when governments are overturned? How do revolutions shape popular consciousness? Do people understand events as revolutionaries intend? To answer these questions, we will examine symbols and political ideologies, mass media, education, social identities, the culture of violence, popular participation and resistance, and other issues. Readings will include revolution-inspiring works of Voltaire and Rousseau, Marx and Lenin, Khomeini and the Koran. We will read sympathetic and antagonistic contemporary accounts, and look at popular culture to see how events were understood. Fashion and etiquette, comics and caricatures, movies and plays will be used.",
INTL 381-01,10427,Transnational Latin Americas, T R,09:40 am-11:10 am,MAIN 011,Ernesto Capello,14 / 20,"Examines critical and primary literatures concerning the transnational, hemispheric, Atlantic, and Pacific cultures that have intersected in Latin America since the early colonial era, with a particular focus on the 19th and 20th centuries. Prerequisite(s): One 100- or 200- level history course or consent of instructor.","Writing WA
                    Internationalism"
INTL 485-01,10822,Senior Seminar: Confronting Global Hatred,  W,07:00 pm-10:00 pm,CARN 404,Nadya Nedelsky, Closed 0 / 10,"Drawing on several disciplines, this course confronts global hatred from three angles. The first is the hater's internal world and looks at how human nature, genetic structure/instincts, and individual psychology may foster hatred. The second is external, exploring the role history, culture, ideology, social structure, religion, and mass psychology play. The third seeks to apply the insights gained from the first two, asking: how might we break the devastating cycles of hatred so present in our world? Prerequisite(s): Senior standing or permission of instructor.",
INTL 489-01,10440,Senior Seminar: Capitalism and World (Dis)Order,M,07:00 pm-10:00 pm,CARN 404,Ahmed Samatar, Closed 3 / 10,"Capitalism, for many, is synonymous with the ""natural"" exchange of goods and services through ""the free market."" But fuller examination shows capitalism to be neither natural, free, nor limited to economic transactions. Capitalism more precisely is a historical social system and a way of being which now penetrates all forms of life: cultural, ecological, civic and more. This senior seminar aims to identify capitalism's origins and development, and interrogate its contemporary status. Thinkers such as Smith, Marx, and Braudel will loom, but readings will focus on works by Beaud, Weber, Tawney, Kotz, Wallerstein, and others. The course concludes with a significant research paper on a topic, relevant to the theme, of a student's choice. Prerequisite(s): Senior standing or permission of instructor.",Internationalism
JAPA 101-01,10109,First Year Japanese I,M W F,09:40 am-10:40 am,HUM 110,Christopher Lowy,0 / 20,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-02,10110,First Year Japanese I,M W F,10:50 am-11:50 am,HUM 110,Christopher Lowy,3 / 20,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-03,10932,First Year Japanese I,M W F,12:00 pm-01:00 pm,HUM 112,Sachiko Dorsey,0 / 20,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-L1,10111,First Year Japanese I Lab,M,03:30 pm-04:30 pm,HUM 228,Nora Farley,-1 / 15,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-L2,10112,First Year Japanese I Lab, T,01:20 pm-02:20 pm,HUM 226,Nora Farley,4 / 15,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-L3,10113,First Year Japanese I Lab, T,03:30 pm-04:30 pm,HUM 110,Nora Farley,0 / 15,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-L4,10931,First Year Japanese I Lab, T,08:30 am-09:30 am,HUM 113,Nora Farley,0 / 15,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 194-01,10114,Japanese Literature since the 2000s,M W F,01:10 pm-02:10 pm,HUM 110,Christopher Lowy,4 / 20,"This course will introduce some longer works of Japanese literature published since the 2000s. The goal is not to survey the entirety of Japanese literature – that would be impossible! – but to instead grapple with the larger socio-cultural trends reflected in fiction and their relation to the larger global context. Authors studied include Kirino Natsuo (Grotesque), Project Itoh (Harmony), Shun Medoruma (In the Woods of Memory), Motoya Yukiko (The Lonesome Bodybuilder), and Murata Sayaka (Convenience Store Woman). We will learn the basic history of contemporary Japanese literature as well as some approaches to studying it. In the first half of the course we will concentrate on literature engaging with large societal issues and learn how to recognize the way authors draw on the world around them and “translate” it into fiction. In the second half we will shift to less explicitly political pieces. We will continue to pay attention to the political characteristics of the text, but will spend more time thinking about how they relate to contemporary life, especially how they reflect upon, critique, re-imagine, and/or recapitulate aspects of contemporary society. Our discussions will also focus on how literature’s exploration of these issues relates not only to Japan’s particular history and culture but how these trends are shaped by globalization, the internet, and transnational desirability.","Writing WA
                    Internationalism"
JAPA 203-01,10116,Second Year Japanese I,M W F,02:20 pm-03:20 pm,HUM 110,Ritsuko Larson,4 / 20,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-02,10117,Second Year Japanese I,M W F,03:30 pm-04:30 pm,HUM 110,Ritsuko Larson,7 / 20,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-L1,10118,Second Year Japanese I Lab,   R,10:10 am-11:10 am,OLRI 150,Nora Farley,4 / 15,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-L2,10119,Second Year Japanese I Lab,   R,01:20 pm-02:20 pm,HUM 226,Nora Farley,5 / 15,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-L3,10120,Second Year Japanese I Lab,   R,03:30 pm-04:30 pm,HUM 102,Nora Farley,7 / 15,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 294-01,10121,"Language and Identity in Japanese, Asian American and Other Communities", T R,01:20 pm-02:50 pm,HUM 110,Satoko Suzuki, Closed 6 / 20,"This course aims to investigate the complex relationship between language and identity. Language plays a significant role in conveying one’s identity along with other semiotic means such as clothing. By exploring scholarship that considers language as it relates to identity, students will discover how speakers/writers use their agency in expressing their identity and how identity emerges as a social and cultural phenomenon. They will learn about multiple interrelated factors that affect how speakers/writers view and use language such as race, ethnicity, gender, and multilingualism in Japanese, Asian American, and other communities, and conduct research using authentic linguistic data. No knowledge of Japanese is required.",Internationalism
JAPA 305-01,10123,Third Year Japanese I,M W F,12:00 pm-01:00 pm,HUM 110,Ritsuko Larson,9 / 20,"Continuation of JAPA 204. Emphasizes continued development of conversation skills, while not neglecting the development of reading skills. Prerequisite(s): JAPA 204  or permission of instructor.",
JAPA 305-L1,10124,Third Year Japanese I Lab,  W,02:20 pm-03:20 pm,HUM 102,Nora Farley,5 / 10,"Continuation of JAPA 204. Emphasizes continued development of conversation skills, while not neglecting the development of reading skills. Prerequisite(s): JAPA 204  or permission of instructor.",
JAPA 305-L2,10125,Third Year Japanese I Lab,  W,03:30 pm-04:30 pm,HUM 102,Nora Farley,5 / 10,"Continuation of JAPA 204. Emphasizes continued development of conversation skills, while not neglecting the development of reading skills. Prerequisite(s): JAPA 204  or permission of instructor.",
JAPA 407-01,10126,Fourth Year Japanese I,M W F,10:50 am-11:50 am,HUM 216,Sachiko Dorsey,11 / 20,"This course aims at the acquisition of advanced level proficiency in speaking, listening, reading and writing. Students are given opportunities to develop abilities to narrate and describe, to understand main ideas and most details of connected discourse on a variety of topics, to read prose several paragraphs in length, and to write routine social correspondence and join sentences in simple discourse of at least several paragraphs in length on familiar topics. In addition, students will practice language that is sociolinguistically appropriate in specific situations. May be repeated for credit. Prerequisite(s): JAPA 306  or permission of instructor.",
JAPA 494-01,10127,Seminar in Japanese Sociocultural Linguistics, T R,09:40 am-11:10 am,HUM 217,Satoko Suzuki,14 / 20,"This course aims to give students the opportunity to find the joy of analyzing Japanese language by enhancing their understanding of its complex and rich sociocultural meanings. In Japanese language courses, students learn the norms (i.e., what is considered to be correct and proper) regarding honorifics, speech levels, orthography, the so-called gendered language, and other linguistic forms. In this linguistics course, they will find out how actual speakers/writers observe or deviate from the norms to create sociocultural meanings and how the adherence to or subversion from the norm often reflects language ideologies. In the process they will reflect on their own as well as others’ speech and writing, and learn how to critically evaluate and analyze language in the media. In addition to reading and discussing academic articles in English, students will collect and analyze authentic Japanese data such as anime, TV drama, films, manga, novels, and blogs. Japanese Language and Culture majors who are juniors and seniors may count this course as their capstone experience.  Prerequisite: JAPA 305 or permission of the instructor.",Internationalism
LATI 141-01,10573,Latin America Through Women's Eyes, T R,01:20 pm-02:50 pm,LIBR 250,Paul Dosh,1 / 18,"Latin American women have overcome patriarchal ""machismo"" to serve as presidents, mayors, guerilla leaders, union organizers, artists, intellectuals, and human rights activists. Through a mix of theoretical, empirical, and testimonial work, we will explore issues such as feminist challenges to military rule in Chile, anti-feminist politics in Nicaragua, the intersection of gender and democratization in Cuba, and women's organizing and civil war in Colombia. Teaching methods include discussion, debates, simulations, analytic papers, partisan narratives, lecture, film, poetry, and a biographical essay. This class employs an innovative system of qualitative assessment. Students take the course ""S/SD/N with Written Evaluation."" This provides a powerful opportunity for students to stretch their limits in a learning community with high expectations, but without a high-pressure atmosphere. This ungraded course has been approved for inclusion on major/minor plans in Political Science, Latin American Studies, and Women's, Gender and Sexuality Studies.","Writing WA
                    Internationalism"
LATI 194-01,10791,Soultracking Brazil: Shuffling Through the Sounds of a Musical Nation, T R,01:20 pm-02:50 pm,ARTCOM 202,J. Ernesto Ortiz Diaz,0 / 16,"What binds together a continental-sized country, stretching across both hemispheres and four time zones, made up by a wide array of landscapes and climates, encompassing half of the population of South America and with a society that is the quintessence of racial diversity? In this course, we will study how the idea of Brazil as a nation rests upon the ongoing creation of a popular soundtrack that brings the country’s different cultural regions closer through a melody of sounds, rhythms, and musical genres. Every week, we will shuffle through the national musical archive to look for the soul of Brazil to the beats of samba, bossa nova, modinha, xote, forró, lundu, frevo, carimbó, maxixe, maracatu, among many others. As we explore the musical richness of Brazil, we will also reflect on how concepts like gender, identity, race, ethnicity, and class have informed the national music scene. This course will be taught in English.",Writing WA
LATI 258-01,10891,Immigrant Voices in Times of Fear, T R,01:20 pm-02:50 pm,CARN 204,Erika Busse-Cardenas,3 / 20,"According to the International Organization for Migration (OIM), in 2019, the United States had the largest foreign-born population in the world. During the same year, immigrants represented 15% of the United States population while 53% of the foreign-born migrants came from Latin America. At the same time, we are observing the securitization of the US-Mexico border that is resulting in the removal of undocumented individuals from the U.S. in large numbers, specifically Latino men. The course examines recent U.S. immigration as part of a global (historical) phenomenon to understand how we got to where we are. While we will become familiar with immigration policies, we will pay attention to the experiences of immigrants, particularly those coming from Latin America. We will explore questions such as: What motivates people to migrate? How does migration reconfigure social relations, such as parental and community relations? This is a discussion-based course and includes guest speakers and a civic engagement project with a local organization.","Writing WP
                    U.S. Identities and Differences"
LATI 282-01,10795,Latin America: Art and Nation, T R,03:00 pm-04:30 pm,ARTCOM 202,Ernesto Capello,8 / 25,"This course presents an historical overview of the interaction between artists, the state, and national identity in Latin America. After an introduction to the import of images to crafting collective identities during the colonial era and the 19th century, we will focus on the 20th century. Topics to be discussed include the depiction of race, allegorical landscapes and architectures, the art of revolution, and countercultures. Multiple genres will be explored with an emphasis on the visual arts, architecture, and popular music.","Writing WA
                    Internationalism"
LATI 294-02,10363,Neotropical Landscapes,M W F,09:40 am-10:40 am,CARN 05,Xavier Haro-Carrion,8 / 20,"This course offers an introduction to the peoples and environments of the New World tropics from a geographical perspective. The course is designed to provide students a basic understanding of the most important biophysical and social characteristics of the dominant landscapes that compose the New World tropics. Among others, these include the tropical rain forests of the Amazon basin, the montane forests and páramos of the Andes, and the tropical dry forests of the Pacific coast of South America. For each of these environments, we will learn the key biophysical (ecological) processes that make these ecosystems function the way they do. We will also study the peoples that live in these environments—indigenous communities, afro-descendants, and mestizo populations—and how they interact with their environment. Finally, we will cover some of the threats that these places face, including deforestation, afforestation, and climate change.",Internationalism
LATI 307-01,10712,Introduction to the Analysis of Hispanic Texts,M W F,02:20 pm-03:20 pm,HUM 228,Dinorah Cossio, Closed 1 / 15,"This course presents the student with essential tools for the critical analysis of a broad range of topics and forms of cultural production (literature, cinema, art, e-texts, etc.) in the Hispanic world. It also teaches the student advanced language skills in written composition and public oral presentation. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306.",
LATI 308-01,10715,Introduction to U.S. Latinx Studies,M W F,10:50 am-11:50 am,HUM 217,Alicia Munoz, Closed 0 / 16,"This course provides an interdisciplinary discussion of the Latino experience in the United States with a focus on Mexican, Puerto Rican, Dominican, and Cuban- Americans. Using fiction, poetry, films and critical essays, we will examine issues of race and ethnicity, language, identity, gender and sexuality, politics, and immigration. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 .",U.S. Identities and Differences
LATI 381-01,10428,Transnational Latin Americas, T R,09:40 am-11:10 am,MAIN 011,Ernesto Capello,14 / 20,"Examines critical and primary literatures concerning the transnational, hemispheric, Atlantic, and Pacific cultures that have intersected in Latin America since the early colonial era, with a particular focus on the 19th and 20th centuries. Prerequisite(s): One 100- or 200- level history course or consent of instructor.","Writing WA
                    Internationalism"
LATI 394-01,10789,"De/coloniality, Race and Gender in Contemporary Latin America",M W F,09:40 am-10:40 am,HUM 226,Carmen Valdivia, Closed 0 / 15,"Race and gender as social constructs have been of paramount import to sustain colonial fictions of hierarchical difference in Latin America. Through diverse contemporary cultural texts, including, literature (essays, short stories and poetry), film and media, this course examines race and gender as indivisible categories of analysis for the understanding of ongoing and emerging forms of de/coloniality in Latin America, with particular focus on the Andean area. Students will explore related foundational concepts, such as colonial encounter, contact zones, mestizaje, indigenismo and multiculturalism, while also pondering issues of identity and subjectivity, displacement and belonging, and environmental and social justice struggles. During the second part of the semester, students will additionally learn about digital humanities approaches through the genre of digital storytelling as a potential decolonial pedagogy, with a hands-on opportunity to create their own digital story. Prerequisite: SPAN 307, SPAN 308, or consent of the instructor.",
LING 100-01,10441,Introduction to Linguistics,M W F,02:20 pm-03:20 pm,HUM 216,Kevin Schaefer, Closed 4 / 30,"The aim of this course is to make you aware of the complex organization and systematic nature of language, the primary means of human communication. In a sense, you will be studying yourself, since you are a prime example of a language user. Most of your knowledge of language, however, is unconscious, and the part of language that you can describe is largely the result of your earlier education, which may have given you confused, confusing, or misleading notions about language. This course is intended to clarify your ideas about language and bring you to a better understanding of its nature. By the end of the course you should be familiar with some of the terminology and techniques of linguistic analysis and be able to apply this knowledge to the description of different languages. There are no prerequisites, but this course is the prerequisite for almost every higher level course within the linguistics major.",
LING 100-02,10942,Introduction to Linguistics,M W F,12:00 pm-01:00 pm,HUM 215,Kevin Schaefer,0 / 30,"The aim of this course is to make you aware of the complex organization and systematic nature of language, the primary means of human communication. In a sense, you will be studying yourself, since you are a prime example of a language user. Most of your knowledge of language, however, is unconscious, and the part of language that you can describe is largely the result of your earlier education, which may have given you confused, confusing, or misleading notions about language. This course is intended to clarify your ideas about language and bring you to a better understanding of its nature. By the end of the course you should be familiar with some of the terminology and techniques of linguistic analysis and be able to apply this knowledge to the description of different languages. There are no prerequisites, but this course is the prerequisite for almost every higher level course within the linguistics major.",
LING 104-01,10442,Sounds of the World's Languages, T R,09:40 am-11:10 am,HUM 111,Christina Esposito,0 / 20,"In this course you will be trained to produce and recognize (almost) all the  speech sounds which human languages make use of, and to develop a systematic way of analyzing and recording them. Since sounds are perceived as well as produced, you will also be introduced to the acoustic analysis of speech, learning how acoustic signals of frequency, amplitude, and duration are translated into visible, quantifiable images. You will learn the art of decoding these spectrograms into sounds and words and sentences. The linguistics laboratory contains several different programs for practicing and listening to sounds from many of the world's languages. This course is recommended for students of foreign languages, drama, music and anyone who wants to become more aware of their (and other people's) pronunciation.",
LING 194-01,10443,Historical Linguistics,M W F,10:50 am-11:50 am,HUM 111,Kevin Schaefer, Closed 5 / 20,"Languages are constantly changing. The English written by Chaucer 600 years ago is now very difficult to understand without annotation, not to mention anything written a few centuries before that. This course investigates the nature of language change, how to determine a language's history, its relationship to other languages and the search for common ancestors or ""proto-languages."" We will discuss changes at various linguistic levels: sound change, lexical change, syntactic change and changes in word meaning over time. Although much of the work done in this field involves Indo-European languages, we will also look at change in many other language families. This is a practical course, most of class time will be spent DOING historical linguistics, rather than talking about it. We will be looking at data sets from many different languages and trying to make sense of them. In the cases where we have examples of many related languages, we will try to reconstruct what the parent language must have looked like.",
LING 205-01,10444,Phonology, T R,01:20 pm-02:50 pm,THEATR 213,Marianne Milligan, Closed 2 / 15,"Phonology is the study of how sounds and/or signs pattern in language, i.e. how they are organized into perceptual categories.  In this class we will look at data from a wide variety of languages and analyze them using several formal theories to find patterns and generalizations about phonological contrasts and alternations.  In the process, students will evaluate the explanatory strengths of each theory.  The class will emphasize the analytical skills used in solving problem sets and on how to present and justify an analysis of the dataset. Prerequisite(s): LING 100 or LING 104.",Quantitative Thinking Q1
LING 206-01,10445,Endangered/Minority Languages,M W F,09:40 am-10:40 am,THEATR 213,Marianne Milligan,0 / 20,"Language loss is accelerating at alarming rates. In fact, Linguists predict that only five percent of the six thousand languages currently spoken in the world are expected to survive into the 22nd century. In this course, we will examine the historical, political, and socio-economic factors behind the endangerment and/or marginalization of languages in Africa, Asia, Australia, Europe, and North and South America. We will also concentrate on the globalization of English (and other major languages), which plays a primary role in language endangerment and marginalization. Additional topics include: linguistic diversity, language policy, multilingualism (in both nations and individuals), global language conflict, and language revitalization. Students will have the opportunity to learn first-hand about these issues by interviewing speakers of an endangered and/or minority language.","Writing WA
                    U.S. Identities and Differences"
LING 294-01,10784,"Language and Identity in Japanese, Asian American and Other Communities", T R,01:20 pm-02:50 pm,HUM 110,Satoko Suzuki, Closed 6 / 20,"This course aims to investigate the complex relationship between language and identity. Language plays a significant role in conveying one’s identity along with other semiotic means such as clothing. By exploring scholarship that considers language as it relates to identity, students will discover how speakers/writers use their agency in expressing their identity and how identity emerges as a social and cultural phenomenon. They will learn about multiple interrelated factors that affect how speakers/writers view and use language such as race, ethnicity, gender, and multilingualism in Japanese, Asian American, and other communities, and conduct research using authentic linguistic data. No knowledge of Japanese is required.",Internationalism
LING 300-01,10447,Linguistic Analysis,  W,07:00 pm-10:00 pm,HUM 214,Christina Esposito,4 / 15,"The first prerequisite to understanding a linguistic message is the ability to decipher its code. This course is training in the decoding of grammar. Through practice in problem-solving, you will develop expertise in the grammatical systems of a wide sample of the world's language types. Prerequisite(s): LING 100 - Introduction to Linguistics, plus one of LING 200 - Syntax or LING 205 - Phonology.",
LING 309-01,10717,Introduction to Hispanic Linguistics,M W F,09:40 am-10:40 am,HUM 113,Susana Blanco-Iglesias, Closed 2 / 15,"A linguistic survey of the Spanish language aimed at improving pronunciation and increasing comprehension of the structure of the language, deepening students' understanding of the sound system, word formation, grammar and meaning. Study will emphasize phonetics and provide an introduction to transcription, phonology, morphology and syntax, as well as provide an overview of linguistic change and geographic variation. This course satisfies the Area 3 requirement for the Hispanic and Latin American Studies major. Prerequisite(s): SPAN 305 or SPAN 306 or consent of instructor.",
LING 494-01,10129,Seminar in Japanese Sociocultural Linguistics, T R,09:40 am-11:10 am,HUM 217,Satoko Suzuki,14 / 20,"This course aims to give students the opportunity to find the joy of analyzing Japanese language by enhancing their understanding of its complex and rich sociocultural meanings. In Japanese language courses, students learn the norms (i.e., what is considered to be correct and proper) regarding honorifics, speech levels, orthography, the so-called gendered language, and other linguistic forms. In this linguistics course, they will find out how actual speakers/writers observe or deviate from the norms to create sociocultural meanings and how the adherence to or subversion from the norm often reflects language ideologies. In the process they will reflect on their own as well as others’ speech and writing, and learn how to critically evaluate and analyze language in the media. In addition to reading and discussing academic articles in English, students will collect and analyze authentic Japanese data such as anime, TV drama, films, manga, novels, and blogs. Japanese Language and Culture majors who are juniors and seniors may count this course as their capstone experience.  Prerequisite: JAPA 305 or permission of the instructor.",Internationalism
MATH 135-01,10487,Applied Multivariable Calculus I, T R,01:20 pm-02:50 pm,OLRI 241,Andrew Beveridge,9 / 28,"This course focuses on calculus useful for applied work in the natural and social sciences. There is a strong emphasis on developing scientific computing and mathematical modeling skills. The topics include functions as models of data, differential calculus of functions of one and several variables, integration, differential equations, and estimation techniques. Applications are drawn from varied areas, including biology, chemistry, economics, and physics.",Quantitative Thinking Q1
MATH 135-02,10488,Applied Multivariable Calculus I, T R,03:00 pm-04:30 pm,OLRI 241,Andrew Beveridge,0 / 28,"This course focuses on calculus useful for applied work in the natural and social sciences. There is a strong emphasis on developing scientific computing and mathematical modeling skills. The topics include functions as models of data, differential calculus of functions of one and several variables, integration, differential equations, and estimation techniques. Applications are drawn from varied areas, including biology, chemistry, economics, and physics.",Quantitative Thinking Q1
MATH 135-03,10826,Applied Multivariable Calculus I,M W F,01:10 pm-02:10 pm,THEATR 202,Kristin Heysse,-2 / 28,"This course focuses on calculus useful for applied work in the natural and social sciences. There is a strong emphasis on developing scientific computing and mathematical modeling skills. The topics include functions as models of data, differential calculus of functions of one and several variables, integration, differential equations, and estimation techniques. Applications are drawn from varied areas, including biology, chemistry, economics, and physics.",
MATH 135-04,10947,Applied Multivariable Calculus I,M W F,09:40 am-10:40 am,THEATR 002,Esther Banaian,3 / 28,"This course focuses on calculus useful for applied work in the natural and social sciences. There is a strong emphasis on developing scientific computing and mathematical modeling skills. The topics include functions as models of data, differential calculus of functions of one and several variables, integration, differential equations, and estimation techniques. Applications are drawn from varied areas, including biology, chemistry, economics, and physics.",
MATH 137-01,10489,Applied Multivariable Calculus II,M W F,09:40 am-10:40 am,THEATR 205,David Ehren,5 / 28,"This course focuses on calculus useful for both theoretical and applied work in the mathematical, natural, and social sciences. Topics include: partial derivatives, gradients, contour plots, constrained and unconstrained optimization, Taylor polynomials, interpretations of integrals via finite sums, the fundamental theorem of calculus, double integrals over a rectangle,and differential equations. Attention is given to both symbolic and numerical computing. Prerequisite(s): MATH 135 or a year of high school calculus at the level of AP calculus with an AB score of 4 or higher.",Quantitative Thinking Q1
